model,year,price,total_km,hp,box,body,drive,fuel,location
Toyota Rush,2012,900000.0,45000.0,109.0,AT, внедорожник, полный, бензин,Приморский край
Mercedes-Benz C-класс,2008,770000.0,45549.0,184.0,AT, седан, задний, бензин,Республика Крым
Ford Focus,2011,639000.0,123000.0,125.0,MT, хетчбэк, передний, бензин,Санкт-Петербург
Renault Megane,2012,470000.0,168000.0,143.0,CVT, хетчбэк, передний, бензин,Москва
Ford Mondeo,2009,620000.0,239000.0,161.0,AT, универсал, передний, бензин,Брянская область
LADA Granta,2020,800000.0,13072.0,98.0,AT, седан, передний, бензин,Чеченская Республика
Hyundai i40,2013,950000.0,111000.0,150.0,AT, седан, передний, бензин,Астраханская область
Hyundai Tucson,2008,660000.0,240000.0,140.0,AT, внедорожник, полный, бензин,Вологодская область
Mazda 2,2012,645000.0,168000.0,103.0,AT, хетчбэк, передний, бензин,Москва
LADA Granta,2018,500000.0,61000.0,87.0,MT, хетчбэк, передний, бензин,Ярославская область
Foton Alpha Van,2008,550000.0,152000.0,103.0,MT, микроавтобус, задний, бензин,Ростовская область
Toyota Corolla,2007,600000.0,204000.0,124.0,AT, седан, передний, бензин,Вологодская область
Renault Sandero Stepway,2018,783000.0,71632.0,82.0,MT, хетчбэк, передний, бензин,Мурманская область
Volkswagen Polo,2012,691000.0,30100.0,85.0,MT, хетчбэк, передний, бензин,Республика Татарстан
Skoda Superb,2011,757000.0,168091.0,152.0,AT, хетчбэк, передний, бензин,Москва
Opel Astra,2014,550000.0,194898.0,115.0,MT, седан, передний, бензин,Санкт-Петербург
Skoda Rapid,2014,585000.0,173356.0,75.0,MT, хетчбэк, передний, бензин,Республика Башкортостан
Toyota Land Cruiser,1999,650000.0,190000.0,235.0,AT, внедорожник, полный, бензин,Приморский край
Chevrolet Cruze,2011,550000.0,147000.0,109.0,MT, седан, передний, бензин,Белгородская область
ЗАЗ 965 Запорожец,1966,550000.0,44958.0,27.0,MT, седан, задний, бензин,Тюменская область
Nissan Note,2017,925000.0,24530.0,80.0,AT, хетчбэк, передний, гибрид,Белгородская область
Kia Rio,2010,465000.0,190000.0,95.0,MT, седан, передний, бензин,Краснодарский край
BMW 1 серия,2008,640000.0,294000.0,177.0,AT, хетчбэк, задний, дизель,Краснодарский край
LADA Vesta,2019,960000.0,62000.0,145.0,MT, седан, передний, бензин,Республика Дагестан
Opel Astra,2010,475000.0,153000.0,115.0,MT, хетчбэк, передний, бензин,Тверская область
Opel Astra,2012,525000.0,140000.0,115.0,MT, седан, передний, бензин,Ростовская область
Nissan Tiida,2013,700000.0,138850.0,110.0,AT, седан, передний, бензин,Ярославская область
LADA Granta,2019,700000.0,36000.0,106.0,MT, седан, передний, бензин,Республика Северная Осетия — Алания
Hyundai i30,2013,769888.0,54000.0,100.0,MT, хетчбэк, передний, бензин,Республика Башкортостан
УАЗ Patriot,2016,630000.0,133500.0,135.0,MT, внедорожник, полный, бензин,Мурманская область
Kia Ceed,2009,510000.0,207500.0,122.0,AT, хетчбэк, передний, бензин,Челябинская область
Volkswagen Multivan,2004,865000.0,374000.0,131.0,MT, минивэн, передний, дизель,Мурманская область
Volkswagen Polo,2014,757000.0,107500.0,105.0,AT, седан, передний, бензин,Волгоградская область
Peugeot Partner,2012,620000.0,245000.0,120.0,MT, минивэн, передний, бензин,Свердловская область
Renault Logan,2016,728000.0,60894.0,102.0,MT, седан, передний, бензин,Санкт-Петербург
Toyota Avensis,2008,655000.0,155000.0,129.0,MT, седан, передний, бензин,Тамбовская область
Mazda 5,2008,700000.0,263000.0,146.0,AT, минивэн, передний, бензин,Свердловская область
Skoda Octavia,2016,650000.0,396685.0,110.0,AT, хетчбэк, передний, бензин,Москва
LADA Granta,2020,650000.0,17000.0,87.0,MT, седан, передний, бензин,Республика Башкортостан
Renault Logan,2016,728000.0,60894.0,102.0,MT, седан, передний, бензин,Санкт-Петербург
ГАЗ ГАЗель 3302,2008,495000.0,252100.0,124.0,MT, фургон, задний, бензин,Ставропольский край
Lexus GS,2007,970000.0,185000.0,249.0,AT, седан, задний, бензин,Москва
LADA 4x4 (Нива),2016,495000.0,68000.0,82.0,MT, внедорожник, полный, бензин,Брянская область
Toyota Alphard,2010,680000.0,77000.0,266.0,AT, минивэн, передний, бензин,Приморский край
LADA Vesta,2016,652000.0,72307.0,106.0,MT, седан, передний, бензин,Самарская область
Nissan Juke,2011,790000.0,99900.0,117.0,CVT, внедорожник, передний, бензин,Республика Башкортостан
Chevrolet Cruze,2014,750000.0,121000.0,140.0,AT, седан, передний, бензин,Рязанская область
LADA Largus,2016,649000.0,72000.0,87.0,MT, универсал, передний, бензин,Рязанская область
Mitsubishi L200,2006,500000.0,400000.0,97.0,MT, пикап, полный, дизель,Липецкая область
LIFAN X60,2016,689000.0,57100.0,128.0,MT, внедорожник, передний, бензин,Рязанская область
Land Rover Range Rover,2006,870000.0,320000.0,396.0,AT, внедорожник, полный, бензин,Челябинская область
Nissan Juke,2011,620000.0,271000.0,117.0,MT, внедорожник, передний, бензин,Челябинская область
Honda Fit Shuttle,2012,707000.0,129000.0,88.0,CVT, универсал, передний, гибрид,Приморский край
Opel Astra,2010,545000.0,127000.0,115.0,AT, хетчбэк, передний, бензин,Москва
Kia Soul,2010,639000.0,136000.0,128.0,AT, хетчбэк, передний, дизель,Москва
ВАЗ (LADA) Vesta,2021,829900.0,1.0,106.0,MT, седан, передний, бензин,Белгородская область
Mazda CX-7,2008,525000.0,140000.0,238.0,AT, внедорожник, полный, бензин,Рязанская область
Toyota Alphard,2010,580000.0,79000.0,167.0,AT, минивэн, передний, бензин,Приморский край
ZOTYE T600,2018,890000.0,70000.0,149.0,MT, внедорожник, передний, бензин,Архангельская область
Volkswagen Passat,2012,970000.0,84000.0,152.0,AMT, седан, передний, бензин,Ростовская область
Ford Mondeo,2014,700000.0,139000.0,145.0,MT, седан, передний, бензин,Воронежская область
Chevrolet Niva,2014,459000.0,100703.0,80.0,MT, внедорожник, полный, бензин,Республика Татарстан
Chevrolet Cruze,2013,480000.0,200000.0,141.0,AT, седан, передний, бензин,Брянская область
Mitsubishi Pajero,2003,700000.0,388000.0,202.0,AT, внедорожник, полный, бензин,Краснодарский край
Volkswagen Passat,2012,699000.0,92000.0,152.0,AMT, седан, передний, бензин,Москва
Mitsubishi ASX,2011,980000.0,133000.0,150.0,CVT, внедорожник, полный, бензин,Омская область
Toyota Avensis,2007,735000.0,174000.0,129.0,AT, седан, передний, бензин,Омская область
Honda HR-V,2005,540000.0,120000.0,105.0,CVT, внедорожник, полный, бензин,Камчатский край
Volkswagen Polo,2015,645000.0,130000.0,105.0,MT, седан, передний, бензин,Челябинская область
Chevrolet Niva,2014,500000.0,155000.0,80.0,MT, внедорожник, полный, бензин,Новосибирская область
Subaru Outback,2008,724000.0,165000.0,173.0,AT, универсал, полный, бензин,Тюменская область
Hyundai Solaris,2011,542000.0,119883.0,107.0,MT, седан, передний, бензин,Рязанская область
Volkswagen Polo,2013,540000.0,172761.0,105.0,MT, седан, передний, бензин,Оренбургская область
ВАЗ (LADA) Largus,2020,899990.0,20000.0,106.0,MT, универсал, передний, бензин,Тюменская область
ГАЗ ГАЗель 3302,2013,470000.0,270000.0,107.0,MT, фургон, задний, бензин,Нижегородская область
Skoda Octavia,2012,599000.0,109000.0,152.0,AMT, хетчбэк, передний, бензин,Москва
Skoda Octavia RS,2007,515000.0,221000.0,200.0,MT, хетчбэк, передний, бензин,Москва
Chevrolet Cruze,2013,600000.0,152113.0,141.0,AT, седан, передний, бензин,Республика Татарстан
Nissan Dayz,2017,645000.0,49000.0,64.0,CVT, хетчбэк, передний, бензин,Краснодарский край
Renault Sandero Stepway,2015,735000.0,106500.0,82.0,MT, хетчбэк, передний, бензин,Москва
ВАЗ (LADA) Vesta,2019,975000.0,77841.0,106.0,MT, седан, передний, бензин,Москва
Honda Fit Shuttle,2014,750000.0,34000.0,120.0,AT, универсал, полный, бензин,Приморский край
Suzuki Grand Vitara,2011,899950.0,153977.0,140.0,AT, внедорожник, полный, бензин,Архангельская область
Opel Astra,2013,689000.0,127001.0,180.0,MT, хетчбэк, передний, бензин,Свердловская область
Honda Fit Shuttle,2014,750000.0,34000.0,120.0,CVT, универсал, передний, бензин,Приморский край
Renault Duster,2018,990000.0,23558.0,114.0,MT, внедорожник, передний, бензин,Санкт-Петербург
Renault Sandero Stepway,2013,669000.0,62200.0,102.0,AT, хетчбэк, передний, бензин,Челябинская область
LADA Priora,2015,479000.0,78350.0,98.0,MT, хетчбэк, передний, бензин,Кировская область
Toyota Vitz,2017,720000.0,45000.0,99.0,CVT, хетчбэк, передний, бензин,Приморский край
Opel Zafira,2012,710000.0,155087.0,140.0,AMT, минивэн, передний, бензин,Ростовская область
Skoda Fabia,2011,479000.0,161935.0,86.0,MT, хетчбэк, передний, бензин,Республика Татарстан
Peugeot Partner,2013,460000.0,207000.0,90.0,MT, фургон, передний, бензин,Московская область
Volkswagen Polo,2017,933499.0,97000.0,110.0,AT, седан, передний, бензин,Тюменская область
Chevrolet Cobalt,2021,799000.0,1.0,106.0,MT, седан, передний, бензин,Белгородская область
LADA Vesta,2017,695000.0,92125.0,106.0,MT, седан, передний, бензин,Чеченская Республика
LADA Vesta,2017,695000.0,92125.0,106.0,MT, седан, передний, бензин,Чеченская Республика
Volkswagen Passat,2012,789000.0,143000.0,122.0,MT, седан, передний, бензин,Чувашская Республика
Chevrolet Cobalt,2021,799000.0,1.0,106.0,MT, седан, передний, бензин,Белгородская область
Opel Zafira,2012,710000.0,155087.0,140.0,AMT, минивэн, передний, бензин,Ростовская область
Kia Ceed,2016,797000.0,85000.0,130.0,AT, хетчбэк, передний, бензин,Смоленская область
Volkswagen Golf,2012,550000.0,138000.0,122.0,MT, хетчбэк, передний, бензин,Челябинская область
Hyundai Solaris,2011,499000.0,136000.0,123.0,MT, седан, передний, бензин,Вологодская область
Renault Sandero Stepway,2012,477000.0,204000.0,84.0,MT, хетчбэк, передний, бензин,Ростовская область
Volkswagen Passat,2009,630000.0,240000.0,152.0,AMT, универсал, передний, бензин,Республика Татарстан
Skoda Octavia,2008,450000.0,222000.0,160.0,MT, хетчбэк, передний, бензин,Москва
Opel Astra,2011,620000.0,147000.0,180.0,AT, хетчбэк, передний, бензин,Москва
Skoda Fabia,2011,479000.0,161935.0,86.0,MT, хетчбэк, передний, бензин,Республика Татарстан
SEAT Leon,2012,780000.0,121000.0,160.0,AMT, хетчбэк, передний, бензин,Калужская область
LADA Largus,2020,799000.0,28000.0,87.0,MT, универсал, передний, бензин,Республика Дагестан
Mitsubishi Lancer,2010,495000.0,116533.0,109.0,AT, седан, передний, бензин,Санкт-Петербург
Chevrolet Spark,2007,460000.0,39000.0,52.0,AT, хетчбэк, передний, бензин,Ростовская область
Skoda Octavia,2011,685000.0,180000.0,102.0,AT, хетчбэк, передний, бензин,Нижегородская область
Chevrolet Niva,2019,870000.0,40000.0,80.0,MT, внедорожник, полный, бензин,Республика Дагестан
Renault Sandero,2019,850000.0,55000.0,102.0,AT, хетчбэк, передний, бензин,Кировская область
Kia Rio,2015,795000.0,138329.0,123.0,AT, седан, передний, бензин,Республика Татарстан
Chevrolet Niva,2014,459000.0,100703.0,80.0,MT, внедорожник, полный, бензин,Республика Татарстан
Lexus LS,2011,750000.0,57000.0,445.0,CVT, седан, полный, гибрид,Приморский край
Nissan Note,2012,499000.0,121000.0,110.0,AT, хетчбэк, передний, бензин,Москва
LADA Vesta,2020,915000.0,21500.0,106.0,MT, универсал, передний, бензин,Пермский край
Toyota Vitz,2017,725000.0,18000.0,99.0,CVT, хетчбэк, передний, бензин,Приморский край
Toyota Passo,2016,610000.0,33000.0,69.0,CVT, хетчбэк, передний, бензин,Иркутская область
Renault Duster,2013,679000.0,168082.0,135.0,MT, внедорожник, полный, бензин,Московская область
Hyundai Tucson,2008,650000.0,128000.0,140.0,MT, внедорожник, передний, бензин,Тульская область
Toyota Aqua,2013,820000.0,141000.0,74.0,CVT, хетчбэк, передний, гибрид,Москва
Volkswagen Polo,2012,630000.0,76000.0,105.0,AT, седан, передний, бензин,Республика Башкортостан
Vortex Tingo,2014,450000.0,127000.0,132.0,MT, внедорожник, передний, бензин,Ставропольский край
ГАЗ ГАЗель Next,2016,750000.0,350000.0,107.0,MT, фургон, задний, бензин,Томская область
Peugeot 508,2012,699000.0,140000.0,150.0,AT, седан, передний, бензин,Москва
Honda N-BOX,2012,685000.0,109000.0,64.0,CVT, хетчбэк, передний, бензин,Курганская область
BMW X1,2009,630000.0,186000.0,258.0,AT, внедорожник, полный, бензин,Челябинская область
Kia Rio,2017,930000.0,33000.0,123.0,AT, седан, передний, бензин,Республика Башкортостан
Ford Transit,2013,800000.0,174000.0,155.0,MT, микроавтобус, задний, дизель,Тюменская область
Toyota Prius,2011,450000.0,115000.0,136.0,CVT, хетчбэк, передний, гибрид,Республика Крым
ГАЗ ГАЗель 2747,2011,499000.0,283562.0,120.0,MT, фургон, задний, дизель,Оренбургская область
Ford Focus,2010,489000.0,172000.0,125.0,MT, хетчбэк, передний, бензин,Удмуртская Республика
Hyundai Solaris,2018,899000.0,59029.0,123.0,MT, седан, передний, бензин,Брянская область
Citroen C4,2016,590000.0,80000.0,116.0,MT, седан, передний, бензин,Пермский край
Ford EcoSport,2016,777000.0,98484.0,122.0,AMT, внедорожник, передний, бензин,Москва
Mazda 6,2011,618000.0,124561.0,120.0,MT, седан, передний, бензин,Москва
Skoda Yeti,2012,890000.0,114237.0,152.0,AMT, внедорожник, полный, бензин,Калужская область
Mercedes-Benz Sprinter,2011,950000.0,960000.0,150.0,MT, микроавтобус, задний, дизель,Брянская область
Honda Civic,2012,822000.0,123865.0,142.0,AT, седан, передний, бензин,Санкт-Петербург
Ford Focus,2016,885000.0,49081.0,105.0,AMT, хетчбэк, передний, бензин,Ульяновская область
Kia Rio,2013,635000.0,149519.0,107.0,MT, хетчбэк, передний, бензин,Курская область
LADA Vesta,2017,590000.0,98000.0,106.0,MT, седан, передний, бензин,Удмуртская Республика
Ford Mondeo,2013,699000.0,147594.0,145.0,MT, седан, передний, бензин,Санкт-Петербург
Ford Focus,2008,525000.0,187015.0,125.0,MT, седан, передний, бензин,Челябинская область
Toyota Avensis,2006,475000.0,290000.0,129.0,MT, седан, передний, бензин,Тюменская область
Toyota Probox,2016,780000.0,103000.0,109.0,CVT, универсал, передний, бензин,Челябинская область
Toyota Alphard,2007,650000.0,120000.0,220.0,AT, минивэн, передний, бензин,Сухум
Chevrolet Nexia,2021,790000.0,4.0,106.0,MT, седан, передний, бензин,Вологодская область
Toyota Alphard,2007,650000.0,120000.0,220.0,AT, минивэн, передний, бензин,Сухум
Ford Focus,2008,525000.0,187015.0,125.0,MT, седан, передний, бензин,Челябинская область
Chevrolet Nexia,2021,790000.0,4.0,106.0,MT, седан, передний, бензин,Вологодская область
Kia Rio,2015,760000.0,143000.0,123.0,MT, седан, передний, бензин,Курская область
Volkswagen Polo,2015,689900.0,103000.0,105.0,MT, седан, передний, бензин,Нижегородская область
Volkswagen Jetta,2013,699700.0,200000.0,105.0,MT, седан, передний, бензин,Воронежская область
Mercedes-Benz E-класс,2010,940000.0,169000.0,204.0,AT, седан, задний, бензин,Москва
Opel Astra,2011,490000.0,163000.0,115.0,MT, седан, передний, бензин,Ростовская область
Ford Mondeo,2008,475000.0,185000.0,145.0,MT, седан, передний, бензин,Республика Крым
Land Rover Range Rover Sport,2008,989000.0,306000.0,272.0,AT, внедорожник, полный, дизель,Брянская область
Volkswagen Tiguan,2010,770000.0,159000.0,150.0,MT, внедорожник, полный, бензин,Республика Башкортостан
Chevrolet Nexia,2021,790000.0,4.0,106.0,MT, седан, передний, бензин,Вологодская область
LADA Largus,2017,700000.0,110000.0,102.0,MT, универсал, передний, бензин,Рязанская область
LADA Vesta,2020,894699.0,49300.0,106.0,MT, седан, передний, бензин,Ставропольский край
BMW 5 серия,1999,650000.0,186000.0,150.0,MT, седан, задний, бензин,Республика Крым
Renault Duster,2014,750000.0,88000.0,102.0,MT, внедорожник, передний, бензин,Тюменская область
Chevrolet Lacetti,2008,450000.0,160550.0,109.0,MT, седан, передний, бензин,Тамбовская область
Honda Accord,2004,485000.0,200000.0,162.0,AT, седан, передний, бензин,Краснодарский край
LADA Vesta,2017,690000.0,76000.0,106.0,MT, седан, передний, бензин,Волгоградская область
Mercedes-Benz R-класс,2007,990000.0,220000.0,224.0,AT, минивэн, полный, дизель,Калининградская область
Ford Focus,2012,620000.0,148000.0,125.0,MT, хетчбэк, передний, бензин,Тверская область
Kia Rio,2017,959000.0,70380.0,123.0,AT, хетчбэк, передний, бензин,Свердловская область
Kia Rio,2015,865000.0,82000.0,123.0,MT, седан, передний, бензин,Челябинская область
Suzuki Jimny,2013,865000.0,73200.0,64.0,AT, внедорожник, полный, бензин,Новосибирская область
Kia Rio,2012,555000.0,112237.0,123.0,MT, седан, передний, бензин,Псковская область
Kia Ceed,2014,815000.0,116000.0,129.0,AT, хетчбэк, передний, бензин,Краснодарский край
Skoda Octavia,2013,680000.0,85325.0,102.0,AT, хетчбэк, передний, бензин,Рязанская область
Mitsubishi Lancer,2007,475000.0,275000.0,109.0,MT, седан, передний, бензин,Челябинская область
ГАЗ ГАЗель Next,2014,900000.0,240000.0,120.0,MT, фургон, задний, дизель,Московская область
Chevrolet Nexia,2021,790000.0,4.0,106.0,MT, седан, передний, бензин,Вологодская область
Kia Rio,2015,777000.0,95500.0,123.0,MT, хетчбэк, передний, бензин,Удмуртская Республика
LADA Kalina,2015,450000.0,106000.0,118.0,MT, хетчбэк, передний, бензин,Воронежская область
Renault Duster,2012,750000.0,130000.0,135.0,MT, внедорожник, полный, бензин,Липецкая область
Renault Duster,2013,599999.0,137000.0,102.0,MT, внедорожник, передний, бензин,Курганская область
LIFAN X60,2014,480000.0,167313.0,128.0,MT, внедорожник, передний, бензин,Пермский край
Honda CR-V,2007,900000.0,285280.0,150.0,AT, внедорожник, полный, бензин,Тюменская область
ВАЗ (LADA) Vesta,2019,949990.0,61334.0,145.0,MT, седан, передний, бензин,Свердловская область
Hyundai Tucson,2006,620000.0,306000.0,173.0,AT, внедорожник, полный, бензин,Республика Татарстан
Hyundai Solaris,2018,900000.0,170000.0,123.0,AT, седан, передний, бензин,Москва
Hyundai Starex,2007,550000.0,225000.0,103.0,AT, фургон, задний, дизель,Пермский край
Nissan X-Trail,2012,929000.0,104000.0,169.0,CVT, внедорожник, полный, бензин,Москва
Mercedes-Benz GLK-класс,2009,950000.0,145000.0,170.0,AT, внедорожник, полный, дизель,Краснодарский край
Chevrolet Niva,2018,695000.0,120000.0,80.0,MT, внедорожник, полный, бензин,Санкт-Петербург
Volkswagen Passat,2012,729000.0,110000.0,152.0,AMT, седан, передний, бензин,Москва
BMW 6 серия,2006,780000.0,207860.0,367.0,AT, купе, задний, бензин,Ставропольский край
Mercedes-Benz CL-класс,2002,580000.0,180000.0,306.0,AT, купе, задний, бензин,Краснодарский край
Hyundai Santa Fe,2008,949000.0,229000.0,150.0,AT, внедорожник, полный, дизель,Калининградская область
LADA Vesta,2018,990000.0,72000.0,106.0,MT, универсал, передний, бензин,Москва
ГАЗ ГАЗель 3302,2007,999999.0,110000.0,140.0,MT, фургон, задний, бензин,Нижегородская область
Toyota Vitz,2017,845000.0,60000.0,99.0,CVT, хетчбэк, передний, бензин,Приморский край
Mitsubishi EK Custom,2018,560000.0,28000.0,64.0,CVT, хетчбэк, передний, бензин,Приморский край
Hyundai Solaris,2020,940000.0,84156.0,123.0,MT, седан, передний, бензин,Московская область
Honda Insight,2010,510000.0,53301.0,88.0,CVT, хетчбэк, передний, гибрид,Хабаровский край
Kia Rio,2012,540000.0,135000.0,123.0,MT, седан, передний, бензин,Московская область
LADA Vesta,2020,880000.0,23000.0,106.0,MT, седан, передний, бензин,Воронежская область
Hyundai Solaris,2017,959000.0,43438.0,100.0,AT, седан, передний, бензин,Москва
LADA Granta,2020,650000.0,22536.0,106.0,MT, седан, передний, бензин,Краснодарский край
ВАЗ Largus Cross,2019,850000.0,75000.0,106.0,MT, универсал, передний, бензин,Краснодарский край
Hyundai Solaris,2017,959000.0,43438.0,100.0,AT, седан, передний, бензин,Москва
Peugeot 4007,2008,710000.0,404000.0,170.0,CVT, внедорожник, полный, бензин,Москва
Audi A6,2005,550000.0,388821.0,177.0,MT, седан, передний, бензин,Орловская область
Nissan Juke,2012,955000.0,62850.0,117.0,CVT, внедорожник, передний, бензин,Волгоградская область
Ford Fusion,2008,450000.0,160000.0,101.0,MT, хетчбэк, передний, бензин,Краснодарский край
LADA Granta,2020,685000.0,10000.0,106.0,MT, седан, передний, бензин,Республика Дагестан
Suzuki SX4,2013,825000.0,84841.0,112.0,AT, внедорожник, передний, бензин,Москва
Toyota Camry,2010,899000.0,158000.0,167.0,AT, седан, передний, бензин,Москва
Skoda Octavia,2010,560000.0,145421.0,102.0,MT, хетчбэк, передний, бензин,Ульяновская область
LIFAN X60,2014,500000.0,172220.0,128.0,MT, внедорожник, передний, бензин,Волгоградская область
Toyota RAV4,2008,950000.0,158000.0,152.0,AT, внедорожник, полный, бензин,Тюменская область
Toyota Camry,2002,475000.0,289500.0,152.0,MT, седан, передний, бензин,Тюменская область
Renault Symbol,2011,470000.0,122000.0,102.0,AT, седан, передний, бензин,Чувашская Республика
Toyota Land Cruiser,1989,850000.0,344384.0,103.0,MT, внедорожник, полный, дизель,Краснодарский край
Nissan Almera,2014,499000.0,89600.0,102.0,MT, седан, передний, бензин,Республика Башкортостан
Renault Sandero,2015,747000.0,50000.0,102.0,AT, хетчбэк, передний, бензин,Республика Татарстан
Renault Megane,2007,685000.0,55000.0,115.0,AT, седан, передний, бензин,Ростовская область
Skoda Octavia,2013,710000.0,103000.0,102.0,MT, хетчбэк, передний, бензин,Новосибирская область
Chevrolet Cruze,2014,675000.0,147000.0,140.0,AT, седан, передний, бензин,Москва
Citroen C4,2012,500000.0,102384.0,120.0,AT, хетчбэк, передний, бензин,Нижегородская область
Toyota Prius,2015,780000.0,34000.0,136.0,CVT, хетчбэк, передний, гибрид,Приморский край
Renault Logan Stepway,2021,950000.0,6570.0,82.0,MT, седан, передний, бензин,Республика Марий Эл
Kia Opirus,2008,550000.0,150000.0,266.0,AT, седан, передний, бензин,Московская область
Mitsubishi Outlander,2010,890000.0,170000.0,147.0,CVT, внедорожник, полный, бензин,Архангельская область
Ford Focus,2012,680000.0,125100.0,105.0,MT, универсал, передний, бензин,Волгоградская область
Nissan Tiida,2010,525000.0,194346.0,110.0,MT, хетчбэк, передний, бензин,Псковская область
Kia Rio,2012,699999.0,120163.0,123.0,MT, седан, передний, бензин,Ставропольский край
Toyota Camry,2002,545000.0,288000.0,192.0,AT, седан, передний, бензин,Тюменская область
LADA Priora,2016,570000.0,127995.0,106.0,MT, седан, передний, бензин,Республика Дагестан
Nissan Qashqai,2013,950000.0,121000.0,141.0,MT, внедорожник, полный, бензин,Тульская область
LADA Granta,2020,655000.0,41136.0,106.0,MT, седан, передний, бензин,Республика Дагестан
УАЗ Patriot,2015,598000.0,73742.0,128.0,MT, внедорожник, полный, бензин,Москва
LADA 4x4 (Нива),2021,990000.0,4000.0,83.0,MT, внедорожник, полный, бензин,Ставропольский край
SsangYong Kyron,2007,450000.0,450388.0,141.0,AT, внедорожник, полный, дизель,Краснодарский край
Ford Focus,2012,600000.0,113000.0,125.0,AMT, универсал, передний, бензин,Москва
BMW 5 серия,2007,600000.0,230000.0,218.0,AT, седан, задний, бензин,Московская область
Mazda 6,2008,997000.0,130528.0,147.0,AT, седан, передний, бензин,Москва
Opel Zafira,2008,499000.0,180000.0,140.0,AMT, минивэн, передний, бензин,Санкт-Петербург
LADA Vesta Cross,2018,945000.0,49000.0,106.0,MT, универсал, передний, бензин,Ставропольский край
Mazda 3,2007,457000.0,181300.0,105.0,AT, седан, передний, бензин,Краснодарский край
Nissan Pathfinder,2008,920000.0,149048.0,174.0,AT, внедорожник, полный, дизель,Удмуртская Республика
LADA 4x4 (Нива),2020,855000.0,8400.0,83.0,MT, внедорожник, полный, бензин,Республика Башкортостан
Hyundai Santa Fe,2008,468000.0,293000.0,112.0,AT, внедорожник, полный, дизель,Вологодская область
Ford Focus,2017,985000.0,90000.0,125.0,AMT, седан, передний, бензин,Тюменская область
Honda Freed,2008,760000.0,180000.0,118.0,CVT, минивэн, передний, бензин,Республика Адыгея
Hyundai Santa Fe,2007,545000.0,120000.0,112.0,MT, внедорожник, полный, дизель,Волгоградская область
Volkswagen Polo,2014,515000.0,116000.0,105.0,MT, седан, передний, бензин,Рязанская область
ВАЗ (LADA) Kalina Cross,2018,579990.0,40000.0,106.0,MT, универсал, передний, бензин,Тюменская область
Nissan Murano,2009,910000.0,207000.0,249.0,CVT, внедорожник, полный, бензин,Республика Дагестан
Mazda 6 MPS,2006,549000.0,145000.0,260.0,MT, седан, полный, бензин,Тюменская область
Renault Duster,2013,799000.0,181135.0,135.0,MT, внедорожник, полный, бензин,Орловская область
Chevrolet Niva,2015,470000.0,76000.0,80.0,MT, внедорожник, полный, бензин,Самарская область
Ford Focus,2012,636999.0,126568.0,105.0,MT, хетчбэк, передний, бензин,Республика Башкортостан
Ford Focus,2011,530000.0,202452.0,125.0,MT, хетчбэк, передний, бензин,Ульяновская область
Chevrolet Cruze,2013,580000.0,163000.0,141.0,MT, хетчбэк, передний, бензин,Республика Татарстан
Chevrolet Lacetti,2011,468000.0,133000.0,94.0,MT, седан, передний, бензин,Владимирская область
ГАЗ ГАЗель Next,2013,950000.0,250000.0,120.0,MT, фургон, задний, дизель,Челябинская область
Ford Mondeo,2006,470000.0,170000.0,125.0,MT, седан, передний, бензин,Челябинская область
Lexus LS,2007,750000.0,262000.0,381.0,AT, седан, задний, бензин,Республика Дагестан
Mercedes-Benz Sprinter,2013,1000000.0,400000.0,150.0,MT, микроавтобус, задний, дизель,Оренбургская область
Skoda Octavia,2011,745000.0,91000.0,122.0,AMT, хетчбэк, передний, бензин,Пензенская область
Hyundai Solaris,2011,724000.0,49571.0,107.0,AT, седан, передний, бензин,Московская область
ВАЗ (LADA) Granta,2021,592500.0,463.0,98.0,AT, седан, передний, бензин,Алтайский край
Mitsubishi Montero Sport,2001,450000.0,268000.0,177.0,AT, внедорожник, задний, бензин,Республика Татарстан
Ford Transit,2013,510000.0,215000.0,155.0,MT, фургон, задний, дизель,Челябинская область
Mitsubishi Delica D2,2018,650000.0,56000.0,91.0,CVT, минивэн, полный, бензин,Приморский край
Honda Freed,2015,580000.0,72000.0,118.0,CVT, минивэн, передний, бензин,Приморский край
Renault Duster,2017,999000.0,83443.0,114.0,MT, внедорожник, передний, бензин,Удмуртская Республика
Hyundai Porter,2009,530000.0,150000.0,126.0,MT, фургон, задний, дизель,Санкт-Петербург
Volkswagen Passat,2011,735000.0,142547.0,152.0,AMT, седан, передний, бензин,Санкт-Петербург
Brilliance V5,2015,629000.0,93000.0,110.0,MT, внедорожник, передний, бензин,Ульяновская область
Skoda Octavia,2014,950000.0,61000.0,140.0,MT, хетчбэк, передний, бензин,Чувашская Республика
LIFAN X60,2014,499999.0,140248.0,128.0,MT, внедорожник, передний, бензин,Самарская область
Hyundai Santa Fe,2007,650000.0,328000.0,189.0,AT, внедорожник, полный, бензин,Ростовская область
LADA Granta,2020,800000.0,20659.0,98.0,AT, хетчбэк, передний, бензин,Республика Башкортостан
Hyundai ix35,2012,820000.0,188000.0,150.0,MT, внедорожник, передний, бензин,Пермский край
Hyundai Solaris,2015,770000.0,71400.0,123.0,AT, седан, передний, бензин,Республика Калмыкия
Hyundai ix55,2009,950000.0,230000.0,239.0,AT, внедорожник, полный, дизель,Саратовская область
