model,year,price,total_km,hp,box,body,drive,fuel,location
Ford Mondeo,2011,690000.0,189237.0,161.0,AT, седан, передний, бензин,Липецкая область
Ford Focus,2017,930000.0,53000.0,125.0,AMT, седан, передний, бензин,Удмуртская Республика
Ford Focus,2008,540000.0,179000.0,100.0,AT, седан, передний, бензин,Свердловская область
Honda Civic,2008,535000.0,152698.0,140.0,AT, седан, передний, бензин,Москва
ГАЗ ГАЗель 3302,2013,510000.0,537000.0,107.0,MT, фургон, задний, бензин,Кировская область
Brilliance V5,2014,680000.0,126000.0,110.0,MT, внедорожник, передний, бензин,Республика Татарстан
Volkswagen Crafter,2010,705000.0,1000.0,109.0,MT, микроавтобус, задний, дизель,Чувашская Республика
Renault Duster,2015,880000.0,132500.0,135.0,AT, внедорожник, полный, бензин,Краснодарский край
Renault Duster,2012,735000.0,81328.0,102.0,MT, внедорожник, полный, бензин,Московская область
Volkswagen Touareg,2007,930000.0,135000.0,174.0,AT, внедорожник, полный, дизель,Удмуртская Республика
ГАЗ ГАЗель 2747,2010,530000.0,300000.0,96.0,MT, фургон, задний, бензин,Ульяновская область
Toyota Premio,2006,585000.0,203000.0,132.0,AT, седан, передний, бензин,Свердловская область
LADA 4x4 (Нива),2015,470000.0,67000.0,83.0,MT, внедорожник, полный, бензин,Санкт-Петербург
LADA 4x4 (Нива),2020,850000.0,23000.0,83.0,MT, внедорожник, полный, бензин,Республика Северная Осетия — Алания
Ravon Nexia,2017,480000.0,146000.0,106.0,MT, седан, передний, бензин,Республика Татарстан
Kia Sportage,2016,855000.0,52900.0,150.0,AT, внедорожник, передний, бензин,Тверская область
Volkswagen Touran,2012,942000.0,102421.0,140.0,AMT, минивэн, передний, бензин,Ростовская область
Hyundai Solaris,2012,649000.0,128000.0,123.0,MT, хетчбэк, передний, бензин,Орловская область
Nissan Juke,2012,899000.0,63000.0,117.0,CVT, внедорожник, передний, бензин,Республика Башкортостан
Audi A4,2004,480000.0,225000.0,130.0,CVT, седан, передний, бензин,Республика Коми
Opel Insignia,2012,670000.0,103000.0,140.0,MT, седан, передний, бензин,Республика Татарстан
LADA Granta,2014,520000.0,665.0,106.0,MT, хетчбэк, передний, бензин,Волгоградская область
Mercedes-Benz M-класс,2005,550000.0,225000.0,272.0,AT, внедорожник, полный, бензин,Республика Коми
Renault Logan,2014,700000.0,50000.0,102.0,MT, седан, передний, бензин,Белгородская область
Chevrolet Niva,2019,850000.0,10300.0,80.0,MT, внедорожник, полный, бензин,Ставропольский край
Hyundai Sonata,2008,505000.0,200000.0,165.0,MT, седан, передний, бензин,Ярославская область
Citroen C4,2013,680000.0,108000.0,120.0,AT, седан, передний, бензин,Москва
Opel Zafira,2012,615000.0,207304.0,140.0,MT, минивэн, передний, бензин,Московская область
