,NameYear,Price,CarParams,url
4031,"Toyota RAV4, 2017",1 860 000 ₽,"76 200 км, 2.0 CVT (146 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/toyota_rav4_2017_2087109447
4032,"Toyota RAV4, 2017",1 860 000 ₽,"76 200 км, 2.0 CVT (146 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/toyota_rav4_2017_2087109447
4033,"Mitsubishi Outlander, 2018",1 575 000 ₽,"25 685 км, 2.0 CVT (146 л.с.), внедорожник, передний, бензин",https://www.avito.ru/moskva/avtomobili/mitsubishi_outlander_2018_2106641807
4034,"ГАЗ ГАЗель 3302, 2014",550 000 ₽,"152 000 км, 2.8 MT (120 л.с.), фургон, задний, дизель",https://www.avito.ru/moskva/avtomobili/gaz_gazel_3302_2014_2139152570
4035,"Peugeot Boxer, 2014",1 390 000 ₽,"110 000 км, 2.2 MT (130 л.с.), фургон, передний, дизель",https://www.avito.ru/moskva/avtomobili/peugeot_boxer_2014_2098956621
4036,"Nissan Qashqai, 2016",1 557 000 ₽,"18 821 км, 2.0 CVT (144 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/nissan_qashqai_2016_2086927743
4037,"Toyota Land Cruiser Prado, 2015",3 300 000 ₽,"56 277 км, 3.0 AT (173 л.с.), внедорожник, полный, дизель",https://www.avito.ru/moskva/avtomobili/toyota_land_cruiser_prado_2015_2137402530
4038,"Volkswagen Jetta, 2012",495 000 ₽,"172 000 км, 1.6 AT (110 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/volkswagen_jetta_2012_2082645571
4039,"Skoda Kodiaq, 2018",2 200 000 ₽,"75 500 км, 2.0 AMT (180 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/skoda_kodiaq_2018_2121443277
4040,"Mercedes-Benz GLS-класс, 2016",3 585 000 ₽,"102 320 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",https://www.avito.ru/moskva/avtomobili/mercedes-benz_gls-klass_2016_2098545768
4041,"Citroen C4 Aircross, 2012",700 000 ₽,"94 000 км, 2.0 CVT (150 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/citroen_c4_aircross_2012_2122299770
4042,"Audi A5, 2012",1 200 499 ₽,"178 500 км, 2.0 AMT (211 л.с.), хетчбэк, полный, бензин",https://www.avito.ru/moskva/avtomobili/audi_a5_2012_2138681424
4043,"KIA cee'd, 2015",896 000 ₽,"101 928 км, 1.6 AMT (135 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/kia_ceed_2015_2132182910
4044,"Lexus LX, 2016",5 720 000 ₽,"69 610 км, 5.7 AT (367 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/lexus_lx_2016_2106656291
4045,"Great Wall Hover H3, 2013",650 000 ₽,"51 610 км, 2.0 MT (115 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/great_wall_hover_h3_2013_2091265655
4046,"Skoda Superb, 2014",1 299 000 ₽,"103 217 км, 2.0 AMT (200 л.с.), универсал, передний, бензин",https://www.avito.ru/moskva/avtomobili/skoda_superb_2014_2122014115
4047,"Mercedes-Benz S-класс, 2017",4 499 999 ₽,"105 000 км, 2.9 AT (249 л.с.), седан, полный, дизель",https://www.avito.ru/moskva/avtomobili/mercedes-benz_s-klass_2017_2113676711
4048,"Volkswagen Tiguan, 2012",895 000 ₽,"134 000 км, 2.0 AT (170 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/volkswagen_tiguan_2012_2124050056
4049,"Ford Mustang, 2016",2 149 999 ₽,"51 200 км, 2.3 AT (317 л.с.), кабриолет, задний, бензин",https://www.avito.ru/moskva/avtomobili/ford_mustang_2016_2137795170
4050,"Hyundai Solaris, 2013",650 000 ₽,"64 000 км, 1.4 AT (107 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/hyundai_solaris_2013_2115336056
4051,"Nissan Note, 2013",615 000 ₽,"51 000 км, 1.6 AT (110 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/nissan_note_2013_2095735839
4052,"Volkswagen Caravelle, 2016",1 877 000 ₽,"130 250 км, 2.0 AMT (140 л.с.), минивэн, передний, дизель",https://www.avito.ru/moskva/avtomobili/volkswagen_caravelle_2016_2079718580
4053,"Mercedes-Benz E-класс, 2018",3 000 000 ₽,"74 318 км, 2.0 AT (184 л.с.), седан, полный, бензин",https://www.avito.ru/moskva/avtomobili/mercedes-benz_e-klass_2018_2105749524
4054,"KIA Rio, 2015",520 000 ₽,"114 000 км, 1.6 MT (123 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/kia_rio_2015_2114631378
4055,"BMW 3 серия, 2016",1 575 000 ₽,"61 000 км, 2.0 AT (184 л.с.), седан, полный, бензин",https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2016_2092335779
